order_book_id,date,open,volume,close,low,total_turnover,prev_close,high
399976.XSHE,2015-03-03,1884.0692,1615041450.0,1866.0407,1863.2268,25928457407.0,1889.8388,1901.5222
399976.XSHE,2015-03-04,1866.1425,1272807278.0,1887.6322,1865.4247,20283356526.0,1866.0407,1887.6322
399976.XSHE,2015-03-05,1884.6475,1647058426.0,1913.7412,1874.4076,26830591128.0,1887.6322,1914.3338
399976.XSHE,2015-03-06,1918.215,1486870754.0,1871.9675,1871.114,26008366158.0,1913.7412,1921.5118
399976.XSHE,2015-03-09,1861.3476,1186934368.0,1888.3047,1847.2314,19323585059.0,1871.9675,1888.3603
399976.XSHE,2015-03-10,1887.5907,1191870037.0,1903.6508,1885.9636,19689953858.0,1888.3047,1914.7593
399976.XSHE,2015-03-11,1905.2123,1285701881.0,1906.2816,1897.5568,20460409348.0,1903.6508,1911.969
399976.XSHE,2015-03-12,1907.8723,1255562868.0,1889.441,1873.5495,19739222277.0,1906.2816,1910.6529
399976.XSHE,2015-03-13,1894.947,1046744813.0,1907.3248,1885.4874,17087202880.0,1889.441,1907.4032
399976.XSHE,2015-03-16,1913.721,1602978348.0,1956.5866,1913.721,26060594962.0,1907.3248,1956.5866
399976.XSHE,2015-03-17,1966.0361,1982222540.0,1977.1432,1949.2731,32056107980.0,1956.5866,1985.2339
399976.XSHE,2015-03-18,1980.075,1906800751.0,2013.0918,1974.6327,31965427569.0,1977.1432,2013.3022
399976.XSHE,2015-03-19,2015.418,1884462671.0,2032.8484,2009.8734,32151497786.0,2013.0918,2037.7299
399976.XSHE,2015-03-20,2034.8673,1724278954.0,2049.5692,2029.6425,30735752173.0,2032.8484,2052.4539999999997
399976.XSHE,2015-03-23,2057.7807,1969948736.0,2087.133,2057.7807,34408948337.0,2049.5692,2087.2064
399976.XSHE,2015-03-24,2092.1529,2399358282.0,2101.6087,2034.9124,43232775615.0,2087.133,2107.4118
399976.XSHE,2015-03-25,2099.005,2095859277.0,2113.9686,2082.7983,38209403272.0,2101.6087,2127.0028
399976.XSHE,2015-03-26,2107.2587,1983090247.0,2097.436,2072.9434,36639735702.0,2113.9686,2126.1753
399976.XSHE,2015-03-27,2091.8515,1605942599.0,2117.0335,2081.4313,29882800942.0,2097.436,2121.9834
399976.XSHE,2015-03-30,2124.7016,1824487944.0,2143.5671,2124.3684,34036933650.0,2117.0335,2149.2396
399976.XSHE,2015-03-31,2152.2352,1900274731.0,2150.6742,2135.9249,35296752846.0,2143.5671,2175.7554
399976.XSHE,2015-04-01,2158.9644,2510500897.0,2249.03,2158.9644,46946930072.0,2150.6742,2255.5691
399976.XSHE,2015-04-02,2271.9305,2780279216.0,2299.1438,2255.7219,52298058379.0,2249.03,2300.1286
399976.XSHE,2015-04-03,2289.0355,2641080129.0,2339.3698,2275.8735,50070519077.0,2299.1438,2344.6587
399976.XSHE,2015-04-07,2351.5529,2290167031.0,2361.478,2336.1423,45018077628.0,2339.3698,2361.8402
399976.XSHE,2015-04-08,2364.9638,2365421274.0,2322.3235,2281.9276,46439189580.0,2361.478,2366.5123
399976.XSHE,2015-04-09,2320.3202,2038452237.0,2265.0978,2200.9288,39458868720.0,2322.3235,2321.0607
399976.XSHE,2015-04-10,2260.9221,1708556441.0,2308.8485,2252.7092,33289803786.0,2265.0978,2316.6516
399976.XSHE,2015-04-13,2312.8282,1955393227.0,2347.4120000000007,2300.9752,39095846558.0,2308.8485,2352.3522
399976.XSHE,2015-04-14,2350.4434,2032118671.0,2343.7442,2328.6545,39078889469.0,2347.4120000000007,2373.5416
399976.XSHE,2015-04-15,2334.9597,1850477275.0,2252.1887,2252.1887,34883145228.0,2343.7442,2334.9597
399976.XSHE,2015-04-16,2229.8222,1573517505.0,2284.4951,2207.9416,29690054357.0,2252.1887,2296.6316
399976.XSHE,2015-04-17,2307.2956,1975624967.0,2310.8657,2296.9962,37784395696.0,2284.4951,2322.6055
399976.XSHE,2015-04-20,2302.0231,2209187381.0,2253.615,2245.0278,42325364301.0,2310.8657,2314.5383
399976.XSHE,2015-04-21,2258.1772,1728866339.0,2332.0895,2257.5887,33289145721.0,2253.615,2332.0895
399976.XSHE,2015-04-22,2356.6515,2153090995.0,2398.7886,2356.6515,42648519099.0,2332.0895,2404.6812
399976.XSHE,2015-04-23,2413.464,2539710392.0,2463.8089,2412.7729,51770379552.0,2398.7886,2482.7009
399976.XSHE,2015-04-24,2438.8169,1997254343.0,2457.4817,2412.2016,39625690900.0,2463.8089,2468.6046
399976.XSHE,2015-04-27,2478.3801,1988174775.0,2464.2612,2439.8482,40163105270.0,2457.4817,2496.0374
399976.XSHE,2015-04-28,2464.8899,1949720615.0,2364.5175,2343.4418,40030447136.0,2464.2612,2467.7306
399976.XSHE,2015-04-29,2355.1902,1742795302.0,2432.7456,2349.5186,35232883247.0,2364.5175,2439.2938
399976.XSHE,2015-04-30,2445.2778,1750916683.0,2430.9937,2430.9595,34839459684.0,2432.7456,2457.7261
399976.XSHE,2015-05-04,2439.6422,1501887071.0,2471.9702,2427.4936,30614624129.0,2430.9937,2477.5964
399976.XSHE,2015-05-05,2472.6769,1531919541.0,2387.7964,2374.4156,31592223094.0,2471.9702,2472.6769
399976.XSHE,2015-05-06,2404.3958,1315661306.0,2364.9835,2345.7757,27200567198.0,2387.7964,2441.4621
399976.XSHE,2015-05-07,2357.8672,1352979608.0,2307.5667,2304.7633,24425621431.0,2364.9835,2365.3707
399976.XSHE,2015-05-08,2327.2003,1462660899.0,2388.6531,2327.2003,27579681014.0,2307.5667,2388.7529999999997
399976.XSHE,2015-05-11,2417.2257,1900432767.0,2495.2486,2407.9502,37646351109.0,2388.6531,2496.0788
399976.XSHE,2015-05-12,2509.9281,2197839675.0,2545.0568,2494.5753,42829345233.0,2495.2486,2546.1637
399976.XSHE,2015-05-13,2542.7396,2146120192.0,2566.8663,2521.0393,43335752649.0,2545.0568,2589.8469
399976.XSHE,2015-05-14,2565.6396,1913799106.0,2592.5423,2547.8115,40352406486.0,2566.8663,2592.5423
399976.XSHE,2015-05-15,2599.7156,2071610621.0,2583.0337,2544.0468,41903800618.0,2592.5423,2607.6183
399976.XSHE,2015-05-18,2586.5444,1935925700.0,2629.3424,2577.5392,39668424531.0,2583.0337,2632.3033
399976.XSHE,2015-05-19,2640.433,2010310978.0,2697.57,2632.8720000000008,42935936867.0,2629.3424,2697.587
399976.XSHE,2015-05-20,2714.739,2407063463.0,2760.9709999999995,2714.739,51594533023.0,2697.57,2812.133
399976.XSHE,2015-05-21,2774.6290000000013,2357883721.0,2856.698,2774.6290000000013,51392888016.0,2760.9709999999995,2857.72
399976.XSHE,2015-05-22,2886.818,2709918210.0,2890.434,2830.929,58568231140.0,2856.698,2905.105
399976.XSHE,2015-05-25,2872.395,2551521656.0,2961.229000000001,2849.06,54262140161.0,2890.434,2963.907
399976.XSHE,2015-05-26,2976.415,2784759350.0,3064.455,2970.564000000001,63520514233.0,2961.229000000001,3064.748
399976.XSHE,2015-05-27,3077.482,2565064293.0,3099.941,2998.195,59862341954.0,3064.455,3108.244
399976.XSHE,2015-05-28,3092.456,2903044809.0,2920.795,2919.776,66939071415.0,3099.941,3155.41
399976.XSHE,2015-05-29,2922.414,2380370292.0,2969.948,2810.366,53651799175.0,2920.795,3020.322
399976.XSHE,2015-06-01,3001.418,2192359944.0,3126.5040000000013,3001.418,51737586392.0,2969.948,3126.511
399976.XSHE,2015-06-02,3145.791,2445532845.0,3259.281,3145.791,58932375778.0,3126.5040000000013,3259.6
399976.XSHE,2015-06-03,3288.658,2552864373.0,3279.196,3185.118,60744779047.0,3259.281,3315.193
399976.XSHE,2015-06-04,3301.182,2693776881.0,3286.349,3074.888,63820397581.0,3279.196,3317.983
399976.XSHE,2015-06-05,3330.376,2951483318.0,3322.494,3251.627,72784099469.0,3286.349,3376.772
399976.XSHE,2015-06-08,3328.151,2573645278.0,3239.5490000000004,3205.474,59249957050.0,3322.494,3328.151
399976.XSHE,2015-06-09,3243.422,2189239269.0,3242.468,3200.865,50825777261.0,3239.5490000000004,3276.751
399976.XSHE,2015-06-10,3231.9840000000013,2144099453.0,3294.724,3203.616,51120748400.0,3242.468,3324.381
399976.XSHE,2015-06-11,3303.093,2199474939.0,3345.3390000000004,3290.198,54526692125.0,3294.724,3346.622000000001
399976.XSHE,2015-06-12,3362.488,2459415756.0,3410.196,3362.488,60924296557.0,3345.3390000000004,3421.091
399976.XSHE,2015-06-15,3424.47,2402943319.0,3380.6690000000012,3353.605,61964212548.0,3410.196,3446.441
399976.XSHE,2015-06-16,3349.866,2138063832.0,3245.895,3219.3320000000012,51230633526.0,3380.6690000000012,3349.866
399976.XSHE,2015-06-17,3241.336,1873737466.0,3287.224,3128.246,44599470412.0,3245.895,3297.188
399976.XSHE,2015-06-18,3278.249000000001,1804728138.0,3179.092,3173.809,43052674280.0,3287.224,3310.386
399976.XSHE,2015-06-19,3108.969,1593659237.0,2961.501,2956.83,36219645542.0,3179.092,3142.861
399976.XSHE,2015-06-23,2953.392000000001,1839884205.0,2980.543,2769.601,37688359437.0,2961.501,2984.449
399976.XSHE,2015-06-24,3007.324,1955083689.0,3048.449,2956.6490000000013,41847993466.0,2980.543,3059.538
399976.XSHE,2015-06-25,3055.635,1898448100.0,2913.55,2878.906,41032796847.0,3048.449,3060.4
399976.XSHE,2015-06-26,2809.892000000001,1762921153.0,2654.181,2651.001,34424856025.0,2913.55,2819.104000000001
399976.XSHE,2015-06-29,2710.269,2249786319.0,2468.161,2428.594,40142187009.0,2654.181,2714.467
399976.XSHE,2015-06-30,2404.851,2462286532.0,2604.48,2285.469,43021318141.0,2468.161,2610.261
399976.XSHE,2015-07-01,2573.442,2190903657.0,2457.541,2449.202,41073540929.0,2604.48,2668.211
399976.XSHE,2015-07-02,2450.676,2037044024.0,2294.069,2274.187,33831821947.0,2457.541,2462.874
399976.XSHE,2015-07-03,2222.24,1964693425.0,2167.147,2130.172,29564229472.0,2294.069,2334.2270000000008
399976.XSHE,2015-07-06,2312.654,2439864626.0,2119.403,2042.061,34534106021.0,2167.147,2312.654
399976.XSHE,2015-07-07,2046.137,1281230991.0,1996.123,1989.611,17917288257.0,2119.403,2062.264
399976.XSHE,2015-07-08,1895.799,2398962936.0,1931.944,1895.799,29861396312.0,1996.123,1941.702
399976.XSHE,2015-07-09,1907.403,1460591768.0,2023.926,1907.403,19044886541.0,1931.944,2023.926
399976.XSHE,2015-07-10,2078.975,1078446095.0,2136.736,2074.77,16677484964.0,2023.926,2138.029
399976.XSHE,2015-07-13,2220.298,1635526371.0,2262.802,2200.2870000000007,27066983864.0,2136.736,2267.161
399976.XSHE,2015-07-14,2293.025,2314851350.0,2294.714,2267.903,39089862268.0,2262.802,2365.209
399976.XSHE,2015-07-15,2269.044,1986568428.0,2151.359,2145.515,30066107702.0,2294.714,2274.577
399976.XSHE,2015-07-16,2120.807,1934554310.0,2191.314,2046.979,29082398963.0,2151.359,2231.75
399976.XSHE,2015-07-17,2205.274,1901716610.0,2309.516,2205.274,29971583533.0,2191.314,2325.581
399976.XSHE,2015-07-20,2320.3720000000008,2313354418.0,2337.4,2287.705,39403000073.0,2309.516,2379.016
399976.XSHE,2015-07-21,2307.809,1872903356.0,2375.775,2296.054,32069636473.0,2337.4,2391.876
399976.XSHE,2015-07-22,2378.32,2031888158.0,2400.121,2335.062,34855514893.0,2375.775,2408.009
399976.XSHE,2015-07-23,2404.486,2222201901.0,2463.128,2397.819,37357595750.0,2400.121,2471.3920000000007
399976.XSHE,2015-07-24,2468.281,2450289693.0,2442.831,2428.5170000000007,43485975691.0,2463.128,2511.706
399976.XSHE,2015-07-27,2396.399,2195594153.0,2273.434,2270.703,38874372453.0,2442.831,2455.083
399976.XSHE,2015-07-28,2173.026,2329271599.0,2204.711,2128.884,36496406769.0,2273.434,2291.192
399976.XSHE,2015-07-29,2240.077,1885997110.0,2310.862,2172.929,31424564383.0,2204.711,2312.459
399976.XSHE,2015-07-30,2303.195,1900204221.0,2250.575,2242.373,33177944730.0,2310.862,2353.953
399976.XSHE,2015-07-31,2218.749,1505838219.0,2241.87,2209.986,26123300631.0,2250.575,2277.87
399976.XSHE,2015-08-03,2205.054,1540979673.0,2179.841,2143.228,24452983017.0,2241.87,2228.1020000000008
399976.XSHE,2015-08-04,2185.728,1553452435.0,2301.931,2185.728,26709614996.0,2179.841,2301.982
