order_book_id,date,prev_close,low,volume,close,high,total_turnover,open
000941.XSHG,2015-05-13,2375.027,2358.78,2278812200.0,2382.897,2403.775,49203087426.0,2378.039
000941.XSHG,2015-05-14,2382.897,2379.578,1864507000.0,2427.282,2441.385,40335062262.0,2382.331
000941.XSHG,2015-05-15,2427.282,2364.143,1655233300.0,2385.4770000000008,2420.386,35557034078.0,2420.386
000941.XSHG,2015-05-18,2385.4770000000008,2376.746,1739946400.0,2428.393,2445.437,36629913520.0,2381.063
000941.XSHG,2015-05-19,2428.393,2409.36,1813308300.0,2494.289,2494.289,39730921562.0,2428.075
000941.XSHG,2015-05-20,2494.289,2507.4410000000007,2116010400.0,2519.389,2581.281,47503651850.0,2507.675
000941.XSHG,2015-05-21,2519.389,2511.115,1959533600.0,2590.547,2591.514,44207908730.0,2521.643
000941.XSHG,2015-05-22,2590.547,2569.347,2152259100.0,2630.554,2640.869,49819762051.0,2619.484
000941.XSHG,2015-05-25,2630.554,2610.101,2260981700.0,2730.815,2739.119,52703459361.0,2623.954
000941.XSHG,2015-05-26,2730.815,2738.931,2420350300.0,2826.139,2842.999000000001,59754992505.0,2753.606
000941.XSHG,2015-05-27,2826.139,2755.651,2387958300.0,2815.023,2840.666,57874840430.0,2835.152
000941.XSHG,2015-05-28,2815.023,2625.047,2506763900.0,2626.761,2847.259,56705407733.0,2814.997000000001
000941.XSHG,2015-05-29,2626.761,2505.169,2092211300.0,2635.051,2693.335,42647338151.0,2615.24
000941.XSHG,2015-06-01,2635.051,2656.416,2011177700.0,2766.167,2766.873,42927942424.0,2656.807
000941.XSHG,2015-06-02,2766.167,2749.349,2058977800.0,2836.536,2836.962,46058133634.0,2787.7790000000005
000941.XSHG,2015-06-03,2836.536,2771.705,1937682900.0,2849.328,2862.455,44117102755.0,2849.974
000941.XSHG,2015-06-04,2849.328,2670.294000000001,1859237300.0,2850.57,2882.217,42659623002.0,2858.15
000941.XSHG,2015-06-05,2850.57,2843.493,2346605700.0,2911.264,2939.242,53730487508.0,2889.186
000941.XSHG,2015-06-08,2911.264,2837.3392,1783175700.0,2888.1193,2923.2782,42893919402.2,2919.0531
000941.XSHG,2015-06-09,2888.1193,2859.4937,1780041100.0,2912.6277,2928.8818,44298546785.3,2894.8109
000941.XSHG,2015-06-10,2912.6277,2858.8944,1597606200.0,2893.9682,2927.1006,39683226000.2,2886.4943
000941.XSHG,2015-06-11,2893.9682,2856.2841,1666822300.0,2891.8567,2893.0684,34447870694.2,2888.1288
000941.XSHG,2015-06-12,2891.8567,2894.0169,1718987500.0,2925.4294,2944.7702,36649053157.2,2904.8268
000941.XSHG,2015-06-15,2925.4294,2876.5701,1515572600.0,2899.4804,2950.8194,35438704299.9,2940.4565
000941.XSHG,2015-06-16,2899.4804,2759.8479,1669807400.0,2796.2449,2910.6217,39029807149.7,2910.6217
000941.XSHG,2015-06-17,2796.2449,2671.5488,1460043000.0,2819.233,2831.4106,32407172516.6,2777.0525
000941.XSHG,2015-06-18,2819.233,2674.0487,1155188400.0,2674.4677,2807.6924,26110939296.2,2807.6924
000941.XSHG,2015-06-19,2674.4677,2486.313,1138512100.0,2494.5047,2644.769,23921377683.5,2622.6907
000941.XSHG,2015-06-23,2494.5047,2347.4821,1167899700.0,2547.6524,2549.1653,23247605339.5,2497.3671
000941.XSHG,2015-06-24,2547.6524,2538.736,1240569100.0,2596.6972,2626.4319,26105596284.2,2575.2847
000941.XSHG,2015-06-25,2596.6972,2429.1161,1164874400.0,2464.7804,2603.4087,24188722206.0,2601.8145
000941.XSHG,2015-06-26,2464.7804,2249.3792,1142254700.0,2251.5662,2403.9362,20503547119.9,2384.7201
000941.XSHG,2015-06-29,2251.5662,2060.288,1494971500.0,2119.6423,2318.7042,25604587433.7,2316.53
000941.XSHG,2015-06-30,2119.6423,1982.9736,1678170600.0,2254.5223,2259.178,28023512713.7,2085.4053
000941.XSHG,2015-07-01,2254.5223,2129.6875,1550268300.0,2143.8026,2331.7099,27971860603.7,2241.7331
000941.XSHG,2015-07-02,2143.8026,1983.3058,1319195300.0,2007.0063,2174.056,21496327257.6,2149.9572
000941.XSHG,2015-07-03,2007.0063,1860.8163,1378218000.0,1898.1138,2062.1021,20090852422.5,1966.1967
000941.XSHG,2015-07-06,1898.1138,1814.2056,1769706000.0,1919.3853,2039.9706,25451469581.4,2039.9706
000941.XSHG,2015-07-07,1919.3853,1788.2308,1408858300.0,1798.1058,1897.6014,19441170709.0,1862.0807
000941.XSHG,2015-07-08,1798.1058,1701.6021,1823956200.0,1708.6951,1740.6774,20301406209.5,1701.6021
000941.XSHG,2015-07-09,1708.6951,1693.3797,864593100.0,1780.5063,1780.5063,10288221618.7,1703.9438
000941.XSHG,2015-07-10,1780.5063,1817.264,697588100.0,1866.0901,1866.0901,9529394404.3,1827.185
000941.XSHG,2015-07-13,1866.0901,1931.7178,1144994600.0,1984.4902,1984.4902,17221164499.0,1951.0338
000941.XSHG,2015-07-14,1984.4902,2012.9878,1507729000.0,2045.0747,2106.2585,23474787467.2,2039.4545
000941.XSHG,2015-07-15,2045.0747,1914.8062,1561569800.0,1921.6201,2057.6334,24897335202.8,2049.8247
000941.XSHG,2015-07-16,1921.6201,1821.8335,1262744000.0,1970.8974,2004.3544,19212405584.2,1907.3392
000941.XSHG,2015-07-17,1970.8974,1980.6721,1285468900.0,2073.7105,2094.6922,20909794378.1,1989.6205
000941.XSHG,2015-07-20,2073.7105,2057.9987,1548969200.0,2119.6274,2151.3144,26676989761.7,2081.6226
000941.XSHG,2015-07-21,2119.6274,2060.1762,1326009700.0,2137.8962,2164.5219,23094610152.3,2086.705
000941.XSHG,2015-07-22,2137.8962,2093.8362,1312699400.0,2151.2398,2166.9731,22249837961.6,2129.2173
