order_book_id,date,high,prev_close,volume,open,low,close,total_turnover
399808.XSHE,2018-07-13,1397.0891,1392.7106,968385760.0,1394.2782,1386.5186,1392.8734,12224793485.0
399808.XSHE,2018-07-16,1392.4801,1392.8734,870743331.0,1391.8834,1378.6886,1385.1018,10971627132.0
399808.XSHE,2018-07-17,1393.5187,1385.1018,925439220.0,1383.9049,1372.8126,1393.5187,11938152184.0
399808.XSHE,2018-07-18,1404.0052,1393.5187,1038595151.0,1394.7738,1385.3804,1385.4131,12018830674.0
399808.XSHE,2018-07-19,1390.2216,1385.4131,867003610.0,1385.0052,1364.237,1368.3292,10123696787.0
399808.XSHE,2018-07-20,1390.3115,1368.3292,884396925.0,1366.1595,1363.191,1387.0156,10568651839.0
399808.XSHE,2018-07-23,1403.8638,1387.0156,978378985.0,1384.9376,1382.3955,1403.5132,11387197227.0
399808.XSHE,2018-07-24,1435.2018,1403.5132,1328072702.0,1404.8579,1403.7393,1429.5974,14732101926.0
399808.XSHE,2018-07-25,1435.7962,1429.5974,1093587249.0,1430.0828,1416.3755,1418.2642,12873932934.0
399808.XSHE,2018-07-26,1422.5118,1418.2642,1193685373.0,1416.3728,1402.0602,1407.1215,12367266533.0
399808.XSHE,2018-07-27,1413.0515,1407.1215,1032510283.0,1408.4067,1401.1318,1401.6987,9658244821.0
399808.XSHE,2018-07-30,1408.2476,1401.6987,887808747.0,1402.2084,1386.3212,1392.8933,9642648791.0
399808.XSHE,2018-07-31,1392.0471,1392.8933,801152093.0,1391.6106,1373.8308,1379.9056,8813273423.0
399808.XSHE,2018-08-01,1387.244,1379.9056,899283229.0,1382.2919,1358.8484,1359.5111,10181220673.0
399808.XSHE,2018-08-02,1353.4984,1359.5111,1125746972.0,1353.4984,1294.981,1320.1926,12115191461.0
399808.XSHE,2018-08-03,1327.8462,1320.1926,729265335.0,1320.8310000000001,1301.117,1301.6323,8191365024.0
399808.XSHE,2018-08-06,1298.5491,1301.6323,923271390.0,1296.1621,1256.687,1262.3377,10656582515.0
399808.XSHE,2018-08-07,1288.2396,1262.3377,851930010.0,1262.451,1248.3147,1287.7778,9340503577.0
399808.XSHE,2018-08-08,1296.0078,1287.7778,877723523.0,1282.6846,1275.7265,1279.3818,9083964039.0
399808.XSHE,2018-08-09,1310.8617,1279.3818,966479606.0,1272.423,1271.5999,1304.9265,9955713585.0
399808.XSHE,2018-08-10,1313.7375,1304.9265,705537365.0,1305.2342,1297.1796,1309.9423,7630999632.0
399808.XSHE,2018-08-13,1316.1564,1309.9423,739917898.0,1295.1112,1288.3866,1313.0539999999999,8403457689.0
399808.XSHE,2018-08-14,1316.2327,1313.0539999999999,669784127.0,1312.9856,1305.3178,1310.6012,7153309426.0
399808.XSHE,2018-08-15,1313.3974,1310.6012,883918543.0,1311.7583,1278.5858,1279.714,8920545659.0
399808.XSHE,2018-08-16,1281.3494,1279.714,710271239.0,1264.5027,1252.296,1265.4016,7396188292.0
399808.XSHE,2018-08-17,1280.4615,1265.4016,716224199.0,1276.8205,1244.0819,1246.0502,7432960147.0
399808.XSHE,2018-08-20,1262.8309,1246.0502,776330678.0,1245.8821,1238.4379,1262.7232,8079697814.0
399808.XSHE,2018-08-21,1279.8254,1262.7232,713699366.0,1265.6379,1260.7834,1273.2828,7842918518.0
399808.XSHE,2018-08-22,1273.2338,1273.2828,713882695.0,1272.6081,1258.89,1262.145,7204429326.0
399808.XSHE,2018-08-23,1275.7705,1262.145,698528276.0,1261.745,1258.885,1270.4893,7573081811.0
399808.XSHE,2018-08-24,1270.1809,1270.4893,614168848.0,1269.2752,1260.0605,1262.7935,6498713700.0
399808.XSHE,2018-08-27,1288.873,1262.7935,901833692.0,1267.9971,1267.9971,1288.0645,9270825476.0
399808.XSHE,2018-08-28,1300.0330000000001,1288.0645,842790656.0,1290.7169,1290.7169,1297.7451,9025244351.0
399808.XSHE,2018-08-29,1297.411,1297.7451,656248837.0,1295.3734,1283.9527,1287.0415,7006273472.0
399808.XSHE,2018-08-30,1289.8487,1287.0415,708949153.0,1284.5236,1270.2525,1270.8338,7498105941.0
399808.XSHE,2018-08-31,1273.2528,1270.8338,736414164.0,1271.0685,1255.9994,1262.557,7605713220.0
399808.XSHE,2018-09-03,1270.2253,1262.557,869225609.0,1267.4379,1252.3678,1266.8876,8031352954.0
399808.XSHE,2018-09-04,1277.7141,1266.8876,918308071.0,1266.7089,1262.7339,1275.5076,8930250171.0
399808.XSHE,2018-09-05,1276.9472,1275.5076,881313842.0,1273.5157,1256.4722,1256.8633,8314912748.0
399808.XSHE,2018-09-06,1263.9787,1256.8633,839105549.0,1252.4791,1245.5358,1249.5467,8873997408.0
399808.XSHE,2018-09-07,1268.8498,1249.5467,809520513.0,1253.3415,1244.1357,1252.4073,8108852523.0
399808.XSHE,2018-09-10,1262.1064,1252.4073,930006499.0,1258.5773,1232.0684,1233.53,9258069767.0
399808.XSHE,2018-09-11,1244.1953,1233.53,840501202.0,1235.1699,1227.3696,1237.248,7472008455.0
399808.XSHE,2018-09-12,1250.3256,1237.248,867052027.0,1235.8877,1230.6433,1242.675,9042066922.0
399808.XSHE,2018-09-13,1256.9038,1242.675,916433976.0,1251.7826,1233.9281,1250.8771,9431434665.0
399808.XSHE,2018-09-14,1267.4143,1250.8771,963972193.0,1253.9916,1251.6982,1252.4023,10779378438.0
399808.XSHE,2018-09-17,1244.4986,1252.4023,772310217.0,1244.4986,1233.7119,1238.1314,7293506244.0
